"Method","Power","FDR","Power_sd","FDR_sd","eta","q"
"t",0.0368,0.0164,0.0353590529604885,0.0267241804024336,-0.7,0.7
"logit_t",0.0468,0.0296,0.0389996114976765,0.0357861211176409,-0.7,0.7
"log_t",0.0468,0.0296,0.0389996114976765,0.0357861211176409,-0.7,0.7
"tangent_t",0.0288,0.0296,0.0322013865063182,0.0357861211176409,-0.7,0.7
"arcsine_t",0.06,0.0208,0.0460127342935814,0.0303408249157082,-0.7,0.7
"wilcoxon",0.0356,0.0292,0.0340623314563525,0.0363395880076489,-0.7,0.7
"dual_group_logit_t",0.0644,0.0264,0.0461512664391714,0.034685309672406,-0.7,0.7
"dual_group_boxcox_t",0.0416,0.0296,0.0359213506753774,0.0357861211176409,-0.7,0.7
"boxcox_t",0.0408,0.0296,0.0354959095665908,0.0357861211176409,-0.7,0.7
"t",0.262,0.0144,0.0832423746014788,0.0231080028989914,-0.5,0
"logit_t",0.5336,0.0196,0.100458745741521,0.0298115291913594,-0.5,0
"log_t",0.5336,0.0184,0.100458745741521,0.0292229327409108,-0.5,0
"tangent_t",0.0032,8e-04,0.0109063969737716,0.00562821176545159,-0.5,0
"arcsine_t",0.3824,0.0188,0.0978673602485538,0.0297898362438323,-0.5,0
"wilcoxon",0.4972,0.02,0.10378766202145,0.0303514764255731,-0.5,0
"dual_group_logit_t",0.538,0.0212,0.101603308623451,0.0308558067157676,-0.5,0
"dual_group_boxcox_t",0.52,0.0208,0.0988008915021325,0.0308688984074406,-0.5,0
"boxcox_t",0.5132,0.0208,0.0999482694480328,0.0308688984074406,-0.5,0
"t",0.196,0.0172,0.0872474710929848,0.0242911631269605,-0.5,0.1
"logit_t",0.1872,0.0252,0.0756130500200417,0.0314780667587558,-0.5,0.1
"log_t",0.1872,0.0252,0.0756130500200417,0.0314780667587558,-0.5,0.1
"tangent_t",0.0196,0.0168,0.0275578363344139,0.0279566764400878,-0.5,0.1
"arcsine_t",0.2728,0.0228,0.09983906241466,0.028,-0.5,0.1
"wilcoxon",0.2988,0.0236,0.098547839994983,0.0290426367169847,-0.5,0.1
"dual_group_logit_t",0.3056,0.0268,0.100667670073265,0.0316827710246118,-0.5,0.1
"dual_group_boxcox_t",0.292,0.028,0.101464030547527,0.0324114956536265,-0.5,0.1
"boxcox_t",0.2844,0.028,0.103106495891139,0.0324114956536265,-0.5,0.1
"t",0.1228,0.0136,0.068284609384457,0.0221801622167106,-0.5,0.2
"logit_t",0.1076,0.0224,0.0556162900342311,0.0307850153762699,-0.5,0.2
"log_t",0.1076,0.0224,0.0556162900342311,0.0307850153762699,-0.5,0.2
"tangent_t",0.022,0.0184,0.0286391693350561,0.0263128036583644,-0.5,0.2
"arcsine_t",0.172,0.016,0.0794933451251859,0.0247818767275889,-0.5,0.2
"wilcoxon",0.1752,0.0188,0.0809598977920863,0.0257132595594514,-0.5,0.2
"dual_group_logit_t",0.1916,0.0196,0.0841921803514034,0.0287068076957506,-0.5,0.2
"dual_group_boxcox_t",0.1656,0.0244,0.078371299632331,0.0316010484418834,-0.5,0.2
"boxcox_t",0.1628,0.0236,0.0794435191017664,0.0301350495622823,-0.5,0.2
"t",0.0912,0.0144,0.0612542309402445,0.0263741532488904,-0.5,0.3
"logit_t",0.0684,0.0312,0.0503065351097398,0.0348526479726731,-0.5,0.3
"log_t",0.0684,0.0312,0.0503065351097398,0.0348526479726731,-0.5,0.3
"tangent_t",0.0224,0.0272,0.0302554778411107,0.0330924630559756,-0.5,0.3
"arcsine_t",0.1232,0.0224,0.0722912180145016,0.0302554778411107,-0.5,0.3
"wilcoxon",0.1004,0.0264,0.0631803575152719,0.0327685486065187,-0.5,0.3
"dual_group_logit_t",0.1276,0.0268,0.0686245825731081,0.0336614157321243,-0.5,0.3
"dual_group_boxcox_t",0.0884,0.032,0.0626150657960723,0.0350468661692144,-0.5,0.3
"boxcox_t",0.0916,0.032,0.0620966987850401,0.0350468661692144,-0.5,0.3
"t",0.0772,0.0176,0.0588797782165344,0.0222529081064008,-0.5,0.4
"logit_t",0.064,0.0276,0.0511681719253465,0.0309812585902895,-0.5,0.4
"log_t",0.064,0.0276,0.0511681719253465,0.0309812585902895,-0.5,0.4
"tangent_t",0.0268,0.026,0.0346083425453657,0.0297464028892316,-0.5,0.4
"arcsine_t",0.1024,0.0232,0.0613175210183711,0.0279566764400878,-0.5,0.4
"wilcoxon",0.0724,0.0256,0.0523222339127083,0.0292781850737391,-0.5,0.4
"dual_group_logit_t",0.1064,0.0252,0.0615542792414085,0.0293526107454815,-0.5,0.4
"dual_group_boxcox_t",0.066,0.0288,0.050010099990003,0.0311814500670323,-0.5,0.4
"boxcox_t",0.0672,0.0288,0.050813185276853,0.0311814500670323,-0.5,0.4
"t",0.0516,0.0152,0.0418925995730738,0.0232891356298133,-0.5,0.5
"logit_t",0.0624,0.03,0.0448818876428325,0.0342893215995531,-0.5,0.5
